Sleep_Stage,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4
NREM,0.00146,1.62341,6.36878,3.9961,0.37463
NREM,0.00089,1.24878,6.99317,3.9961,0.37463
NREM,0.00131,1.1239,6.36878,3.24683,0.49951
NREM,0.00249,1.24878,5.36976,2.74732,0.62439
NREM,0.00128,1.24878,6.36878,3.49659,0.62439
NREM,0.00103,1.49854,6.61854,4.12098,0.62439
NREM,0.001,1.24878,6.36878,3.74634,0.62439
NREM,0.00275,1.24878,5.99415,3.49659,0.62439
NREM,0.00108,1.37366,6.74341,3.87122,0.49951
NREM,0.00171,0.87415,6.11902,3.12195,0.74927
NREM,0.00428,1.37366,5.49463,2.8722,1.24878
NREM,0.00121,0.74927,6.61854,3.37171,0.49951
NREM,0.00188,1.37366,5.86927,3.24683,0.87415
NREM,0.00083,0.62439,8.74146,3.62146,0.62439
NREM,0.00161,1.37366,6.36878,3.74634,0.49951
NREM,0.00179,1.1239,6.36878,2.99707,0.37463
NREM,0.00142,1.37366,6.49366,3.87122,0.62439
NREM,0.00178,0.74927,6.49366,3.24683,0.62439
NREM,0.02076,0.99902,5.24488,2.37268,0.87415
NREM,0.00134,0.99902,6.49366,3.37171,0.49951
NREM,0.00175,1.24878,6.86829,3.12195,0.49951
NREM,0.01775,1.24878,5.12,2.74732,1.1239
NREM,0.00117,0.87415,6.99317,3.74634,0.37463
NREM,0.00103,0.99902,7.74244,3.24683,0.99902
NREM,0.00104,0.87415,7.49268,3.49659,0.87415
NREM,0.00109,0.87415,6.61854,3.24683,0.62439
NREM,0.00112,1.24878,6.61854,3.62146,0.62439
NREM,0.00127,0.87415,6.61854,3.24683,0.49951
NREM,0.00073,0.99902,6.99317,4.12098,0.49951
NREM,0.00084,1.1239,7.11805,3.9961,0.49951
NREM,0.00113,1.24878,6.74341,3.87122,0.62439
NREM,0.00116,1.1239,6.61854,3.62146,0.37463
NREM,0.00096,0.74927,7.24293,3.74634,0.37463
NREM,0.00131,0.99902,6.49366,3.37171,0.37463
NREM,0.00107,0.99902,7.24293,3.74634,0.37463
NREM,0.00165,1.1239,6.2439,3.24683,0.87415
NREM,0.00168,1.49854,5.99415,3.37171,0.37463
NREM,0.00229,1.49854,5.74439,3.24683,0.99902
NREM,0.00098,1.62341,6.74341,3.9961,0.62439
NREM,0.00171,0.74927,6.2439,3.12195,0.37463
NREM,0.00694,0.99902,4.87024,2.49756,1.1239
NREM,0.00103,1.24878,6.74341,3.87122,0.49951
NREM,0.00267,0.99902,6.11902,2.8722,0.87415
NREM,0.00181,0.62439,6.36878,3.12195,0.37463
NREM,0.00312,0.87415,5.86927,2.74732,0.49951
NREM,0.00108,1.74829,6.61854,4.12098,0.37463
NREM,0.00171,1.37366,6.2439,3.37171,1.37366
NREM,0.00139,1.62341,6.2439,3.74634,0.87415
NREM,0.00186,1.1239,6.49366,3.37171,0.37463
NREM,0.00344,1.24878,5.74439,3.37171,1.24878
NREM,0.00163,1.1239,6.2439,3.74634,0.37463
NREM,0.01225,1.49854,4.87024,2.74732,1.37366
NREM,0.00127,1.1239,6.99317,3.74634,0.49951
NREM,0.00183,0.99902,6.36878,3.12195,0.99902
NREM,0.00195,1.49854,6.11902,3.24683,0.49951
NREM,0.0018,1.74829,5.74439,3.49659,0.74927
NREM,0.00202,1.99805,5.61951,3.49659,2.2478
REM,0.00203,2.12293,5.86927,3.87122,2.12293
REM,0.0017,0.74927,6.11902,2.99707,0.74927
REM,0.00157,1.62341,5.86927,3.49659,2.12293
REM,0.00406,0.74927,5.36976,2.49756,0.62439
REM,0.00151,1.1239,6.11902,3.24683,0.49951
NREM,0.00102,0.74927,7.3678,3.49659,0.37463
NREM,0.00059,1.74829,7.49268,4.24585,0.37463
NREM,0.00075,1.1239,6.86829,4.12098,0.62439
NREM,0.00103,1.74829,6.36878,3.87122,1.99805
NREM,0.00172,0.99902,6.2439,3.49659,0.62439
NREM,0.00086,1.62341,6.86829,3.74634,0.74927
NREM,0.00158,1.24878,5.99415,3.62146,0.74927
NREM,0.00174,1.37366,6.2439,3.49659,0.62439
REM,0.00087,1.74829,6.61854,4.24585,0.99902
REM,0.00163,1.99805,5.74439,3.74634,2.2478
REM,0.00201,2.37268,5.74439,3.37171,2.8722
NREM,0.0013,1.49854,6.74341,3.87122,0.62439
NREM,0.001,0.99902,6.49366,3.49659,0.37463
NREM,1.00832,0.49951,2.8722,0.87415,0.49951
NREM,0.00385,1.49854,8.49171,4.74537,0.74927
NREM,0.00423,1.74829,8.61659,4.62049,0.62439
NREM,0.00599,2.37268,6.49366,4.24585,2.49756
NREM,0.00568,1.49854,6.99317,3.9961,0.87415
NREM,0.0098,1.74829,6.86829,4.24585,1.1239
NREM,0.00793,1.99805,5.86927,4.12098,2.74732
NREM,0.00753,1.62341,5.86927,3.24683,2.2478
NREM,0.01491,0.99902,5.74439,3.37171,0.87415
NREM,0.01522,1.1239,5.99415,3.74634,0.74927
NREM,0.01284,1.37366,5.36976,3.62146,0.74927
NREM,0.00804,0.99902,6.99317,3.62146,0.74927
NREM,0.01438,1.37366,5.86927,3.62146,0.87415
NREM,0.00808,0.99902,6.36878,2.99707,0.62439
NREM,0.01284,1.49854,5.49463,3.62146,1.24878
NREM,0.02062,1.1239,5.49463,3.12195,0.74927
NREM,0.0096,1.99805,6.11902,3.62146,0.62439
NREM,0.00966,1.49854,6.11902,3.37171,1.1239
NREM,0.00951,1.62341,6.74341,3.62146,0.99902
NREM,0.00795,1.24878,6.61854,2.8722,0.74927
NREM,0.00886,1.49854,5.99415,3.49659,0.87415
NREM,0.00924,1.24878,6.11902,2.99707,1.24878
NREM,0.01004,1.49854,6.2439,3.37171,1.1239
NREM,0.01641,1.49854,5.24488,3.37171,0.87415
NREM,0.01121,1.37366,5.61951,3.24683,1.1239
NREM,0.01451,1.24878,5.49463,3.49659,0.74927
NREM,0.01331,1.24878,5.61951,3.12195,0.99902
NREM,0.01564,1.1239,5.49463,2.74732,0.99902
NREM,0.01226,1.1239,5.74439,3.24683,0.99902
NREM,0.55732,0.49951,3.62146,1.49854,0.37463
NREM,0.01091,0.87415,6.99317,2.99707,0.74927
NREM,0.01363,1.1239,5.86927,2.74732,0.87415
NREM,0.01356,1.1239,6.36878,2.8722,1.24878
NREM,0.01027,1.1239,6.2439,3.12195,0.87415
NREM,0.01656,1.37366,5.61951,2.8722,1.24878
NREM,0.01228,1.24878,5.99415,3.12195,0.62439
NREM,0.01771,1.37366,5.24488,3.24683,1.1239
NREM,0.02171,1.1239,6.11902,2.99707,0.49951
NREM,0.01444,1.1239,5.86927,3.12195,0.62439
NREM,0.02021,1.24878,5.61951,3.12195,0.62439
NREM,0.03039,0.99902,5.36976,2.8722,0.87415
NREM,0.0253,1.24878,5.74439,2.62244,1.24878
NREM,0.02193,1.24878,5.36976,3.12195,0.99902
NREM,0.03579,1.1239,4.99512,2.8722,0.74927
NREM,0.01078,1.49854,6.11902,3.49659,0.62439
NREM,0.02322,1.24878,5.61951,2.74732,0.62439
NREM,0.02857,0.99902,4.99512,2.62244,0.74927
NREM,0.01787,1.1239,5.99415,2.99707,0.74927
NREM,0.02059,1.1239,5.36976,3.24683,1.1239
NREM,0.02265,0.99902,4.99512,2.99707,0.74927
NREM,0.01926,1.24878,5.24488,2.62244,1.24878
NREM,0.0169,1.24878,5.99415,2.99707,0.49951
NREM,0.03187,1.1239,4.87024,2.99707,0.87415
NREM,0.02947,0.87415,5.49463,2.37268,0.74927
NREM,0.0168,1.24878,5.49463,2.99707,1.1239
NREM,0.02301,0.87415,5.61951,2.74732,0.87415
NREM,0.02614,1.1239,5.24488,2.74732,0.62439
NREM,0.02731,1.1239,5.24488,2.8722,0.62439
NREM,0.04515,0.87415,4.87024,2.49756,0.74927
NREM,0.02927,1.1239,5.36976,2.62244,0.49951
NREM,0.03656,0.99902,4.87024,2.49756,0.62439
NREM,0.03449,0.99902,4.87024,2.49756,1.1239
NREM,0.03477,1.1239,4.87024,2.62244,0.99902
NREM,0.0344,0.99902,4.99512,2.49756,0.74927
NREM,0.04719,0.99902,4.62049,2.49756,0.74927
NREM,0.03157,1.1239,4.99512,2.74732,1.24878
NREM,0.03975,0.99902,4.87024,2.49756,0.74927
NREM,0.06605,0.87415,4.49561,2.2478,0.74927
NREM,0.02814,1.1239,5.49463,2.8722,1.24878
NREM,0.03443,0.99902,4.74537,2.37268,0.74927
NREM,0.03261,1.1239,4.87024,2.74732,0.87415
NREM,0.03377,1.1239,5.12,2.8722,1.24878
NREM,0.03412,0.99902,4.87024,2.62244,0.87415
NREM,0.04091,1.1239,4.49561,2.37268,1.1239
NREM,0.03701,0.99902,4.87024,2.74732,0.62439
NREM,0.62007,0.49951,3.74634,1.62341,0.37463
NREM,0.01642,1.37366,5.36976,2.8722,1.24878
NREM,0.01479,0.99902,5.74439,2.99707,0.62439
NREM,0.02398,0.87415,4.99512,2.62244,0.62439
NREM,0.02884,0.62439,5.24488,2.74732,0.62439
NREM,0.02788,0.49951,5.36976,2.49756,0.49951
NREM,0.03005,0.87415,5.24488,2.49756,0.62439
NREM,0.05162,0.62439,4.87024,2.12293,0.49951
NREM,0.04624,0.62439,4.99512,2.12293,0.49951
NREM,0.03971,0.87415,4.87024,2.62244,0.49951
NREM,0.05513,0.87415,4.37073,2.12293,0.74927
NREM,0.03806,0.74927,5.12,2.37268,0.62439
NREM,0.02594,0.99902,4.99512,2.62244,0.99902
NREM,0.0271,1.1239,5.12,2.62244,1.1239
NREM,0.04751,0.99902,4.49561,2.37268,0.99902
NREM,0.03145,1.1239,4.87024,2.49756,1.1239
NREM,0.04271,1.24878,4.74537,2.62244,0.99902
NREM,0.02936,1.1239,5.12,2.8722,0.62439
NREM,0.03735,0.99902,4.87024,2.49756,0.62439
NREM,0.02612,1.1239,5.12,2.8722,0.74927
NREM,0.04825,0.99902,4.49561,2.37268,0.99902
NREM,0.02855,1.24878,4.87024,2.62244,0.74927
NREM,0.03275,0.99902,4.87024,2.74732,0.87415
NREM,0.02775,1.37366,5.24488,2.8722,1.24878
NREM,0.0291,0.99902,4.87024,2.49756,0.87415
NREM,0.03976,1.1239,4.74537,2.49756,0.62439
NREM,0.0204,1.1239,4.99512,2.8722,0.62439
NREM,0.01153,1.49854,5.61951,3.12195,2.12293
NREM,0.01469,1.1239,5.86927,3.12195,0.74927
NREM,0.01461,1.24878,5.49463,3.12195,0.74927
NREM,0.01688,1.24878,5.74439,3.12195,0.99902
NREM,0.03361,0.99902,4.99512,2.37268,0.62439
NREM,0.02589,0.99902,4.87024,2.62244,0.74927
NREM,0.03303,1.24878,4.62049,2.8722,0.99902
NREM,0.02957,1.1239,4.74537,2.74732,1.1239
NREM,0.033,1.1239,4.87024,2.74732,0.62439
NREM,0.03162,0.87415,5.12,2.62244,0.49951
NREM,0.05212,0.87415,4.49561,2.2478,0.62439
NREM,0.04024,0.87415,4.87024,2.2478,0.74927
NREM,0.03614,0.99902,4.74537,2.2478,0.74927
NREM,0.05244,0.87415,4.37073,2.74732,0.62439
NREM,0.02459,1.1239,5.24488,2.62244,0.49951
NREM,0.04011,0.87415,4.74537,2.2478,0.62439
NREM,0.02976,1.1239,5.12,2.74732,0.62439
NREM,0.0412,0.87415,4.62049,2.49756,0.74927
NREM,0.05828,0.87415,4.24585,2.2478,0.87415
NREM,0.04327,0.99902,4.87024,2.49756,0.74927
NREM,0.0317,0.99902,4.62049,2.62244,0.62439
NREM,0.03672,0.87415,4.74537,2.2478,0.87415
NREM,0.02723,1.1239,5.12,2.8722,0.62439
NREM,0.02799,0.99902,4.87024,2.62244,0.62439
NREM,0.02969,1.24878,4.62049,2.49756,1.37366
NREM,0.02426,1.1239,4.87024,2.49756,1.1239
NREM,0.03292,0.87415,4.74537,2.74732,0.87415
NREM,0.02599,1.1239,4.99512,2.99707,0.62439
NREM,0.02439,0.99902,5.36976,2.8722,0.74927
NREM,0.03158,0.99902,4.74537,2.49756,0.62439
NREM,0.04664,0.87415,4.87024,2.62244,0.74927
NREM,0.03442,0.99902,4.62049,2.49756,0.87415
NREM,0.02863,0.99902,4.99512,2.62244,0.62439
NREM,0.02906,1.1239,4.99512,2.8722,1.1239
NREM,0.02777,0.87415,5.12,2.49756,0.62439
NREM,0.02556,0.99902,4.62049,2.74732,0.74927
NREM,0.03427,0.87415,4.99512,2.37268,0.87415
NREM,0.02537,1.1239,5.12,2.37268,0.74927
NREM,0.03875,0.99902,4.87024,2.37268,0.74927
NREM,0.03436,0.87415,4.74537,2.49756,0.74927
NREM,0.03208,0.99902,4.87024,2.49756,0.62439
NREM,0.0298,0.99902,4.62049,2.49756,0.62439
NREM,0.03121,0.87415,4.99512,2.62244,0.74927
NREM,0.03112,0.87415,4.87024,2.49756,0.87415
NREM,0.03149,0.87415,4.87024,2.62244,0.62439
NREM,0.02624,0.99902,4.99512,2.8722,0.87415
NREM,0.04174,0.99902,4.62049,2.62244,0.74927
NREM,0.04335,0.87415,4.74537,2.12293,0.99902
NREM,0.03682,1.24878,4.62049,2.74732,0.62439
NREM,0.02202,1.24878,5.12,2.62244,0.99902
NREM,0.03482,0.99902,4.49561,2.49756,0.87415
NREM,0.02612,1.1239,5.12,2.62244,1.24878
NREM,0.03418,1.1239,4.87024,2.49756,0.62439
NREM,0.05037,0.87415,4.49561,1.99805,0.99902
NREM,0.03336,0.74927,4.99512,2.49756,0.62439
NREM,0.03115,0.87415,4.99512,2.2478,0.74927
NREM,0.03112,0.99902,4.74537,2.49756,0.87415
NREM,0.032,1.1239,4.87024,2.62244,1.37366
NREM,0.02916,1.1239,4.74537,2.62244,0.62439
NREM,0.03695,0.99902,4.74537,2.49756,0.87415
NREM,0.01964,1.24878,5.24488,2.8722,0.74927
NREM,0.03843,1.1239,4.37073,2.49756,1.1239
NREM,0.02675,1.1239,4.74537,2.74732,1.1239
NREM,0.03794,0.87415,4.62049,2.12293,0.62439
NREM,0.04829,0.99902,4.24585,2.37268,0.74927
NREM,0.01983,1.1239,5.12,2.8722,1.1239
NREM,0.02819,1.1239,4.74537,2.49756,0.62439
NREM,0.0206,1.1239,5.74439,2.74732,0.87415
NREM,0.02657,1.24878,4.74537,2.62244,0.87415
NREM,0.03395,0.87415,5.12,2.2478,0.62439
NREM,0.00854,1.37366,6.36878,3.49659,1.24878
NREM,0.0263,1.24878,4.99512,2.8722,0.87415
NREM,0.01512,0.99902,5.86927,2.99707,0.87415
NREM,0.00973,1.24878,6.49366,3.37171,0.74927
NREM,0.01392,0.99902,5.61951,3.12195,0.62439
NREM,0.01017,1.37366,6.2439,3.37171,1.37366
NREM,0.00962,1.74829,5.99415,3.62146,1.1239
NREM,0.01613,1.49854,5.74439,2.99707,0.99902
NREM,0.00508,1.49854,6.86829,3.74634,0.74927
NREM,0.00949,1.37366,6.36878,3.37171,1.24878
NREM,0.01216,1.1239,6.11902,3.24683,0.74927
NREM,0.00641,1.62341,6.36878,3.87122,0.74927
NREM,0.01058,1.87317,5.61951,3.37171,1.99805
NREM,0.0073,1.74829,6.36878,3.74634,1.49854
NREM,0.00954,1.62341,5.86927,3.37171,0.99902
NREM,0.01028,1.49854,6.11902,3.12195,0.87415
NREM,0.01225,1.49854,5.99415,3.62146,1.49854
NREM,0.00977,1.1239,6.36878,3.37171,0.74927
NREM,0.01212,1.37366,6.36878,3.37171,0.87415
NREM,0.01529,1.1239,6.11902,2.8722,0.49951
NREM,0.01825,1.49854,5.49463,2.62244,1.62341
NREM,0.01728,1.1239,5.86927,2.99707,0.99902
NREM,0.01391,1.24878,6.61854,3.12195,0.62439
NREM,0.01932,1.24878,5.74439,2.99707,0.74927
NREM,0.01707,1.37366,5.99415,3.12195,0.87415
NREM,0.01364,1.62341,5.86927,3.37171,0.62439
NREM,0.01211,1.37366,6.2439,3.37171,0.99902
NREM,0.01619,1.37366,5.36976,2.8722,0.99902
NREM,0.02654,1.1239,5.12,2.62244,0.99902
NREM,0.01872,1.24878,5.24488,2.74732,0.99902
NREM,0.01154,1.62341,5.99415,3.62146,1.49854
NREM,0.01618,1.37366,5.99415,3.62146,0.74927
NREM,0.02819,0.87415,5.12,2.74732,0.87415
NREM,0.01896,1.37366,5.36976,2.99707,0.74927
NREM,0.02405,1.74829,5.61951,3.12195,0.74927
REM,0.01393,1.87317,5.86927,2.99707,2.49756
REM,0.01318,1.74829,5.49463,2.99707,0.62439
REM,0.00598,1.24878,6.49366,3.62146,1.1239
REM,0.00434,1.37366,6.74341,3.87122,0.74927
REM,0.0051,1.37366,6.61854,3.87122,0.49951
REM,0.00515,1.1239,6.49366,3.62146,0.62439
REM,0.00372,2.12293,6.61854,4.12098,0.62439
REM,0.00525,1.74829,6.36878,3.87122,1.74829
REM,0.00368,1.99805,6.49366,4.12098,0.74927
REM,0.00533,1.99805,6.36878,3.87122,0.49951
REM,0.00449,2.2478,6.99317,4.37073,2.74732
REM,0.00365,1.99805,6.99317,4.24585,1.1239
REM,0.00437,1.62341,6.36878,3.62146,0.62439
REM,0.0038,1.62341,6.86829,4.24585,0.74927
REM,0.00537,2.12293,6.99317,4.12098,2.49756
REM,0.00432,1.49854,7.24293,3.87122,0.74927
REM,0.0041,1.62341,5.99415,3.74634,0.49951
REM,0.00426,1.74829,5.74439,3.74634,2.37268
REM,0.00347,1.62341,6.86829,3.62146,0.74927
REM,0.00392,2.12293,6.36878,3.9961,0.99902
REM,0.00315,1.62341,6.74341,3.87122,0.49951
REM,0.0041,1.74829,6.61854,3.9961,0.49951
REM,0.00539,1.74829,5.86927,3.74634,0.99902
REM,0.00417,1.37366,6.11902,3.62146,0.62439
REM,0.00524,1.37366,6.11902,3.74634,0.62439
REM,0.00472,2.2478,6.36878,4.12098,2.2478
REM,0.00394,1.99805,7.3678,4.24585,0.62439
REM,0.00409,1.87317,6.99317,4.12098,0.49951
NREM,0.00418,1.74829,6.74341,4.24585,0.62439
NREM,0.00471,1.49854,6.86829,3.9961,0.62439
NREM,0.00411,1.87317,6.36878,4.62049,1.37366
NREM,0.00544,1.74829,6.74341,4.24585,1.24878
NREM,0.00451,1.87317,6.49366,4.37073,0.62439
NREM,0.00294,1.62341,6.49366,3.87122,0.49951
NREM,0.01272,0.99902,5.49463,2.49756,0.74927
NREM,0.008,1.24878,5.86927,3.24683,0.99902
NREM,0.0066,1.1239,6.36878,4.12098,0.99902
NREM,0.01084,1.62341,5.99415,3.24683,0.87415
NREM,0.0057,1.37366,6.11902,3.37171,0.74927
NREM,0.00563,1.49854,6.2439,3.74634,1.24878
NREM,0.01086,1.37366,5.99415,2.99707,0.87415
NREM,0.01047,0.99902,5.24488,2.62244,0.74927
NREM,0.00481,1.37366,7.3678,3.9961,0.49951
NREM,0.01945,1.37366,5.49463,2.8722,1.49854
NREM,0.00479,1.24878,6.86829,3.87122,0.99902
NREM,0.01117,1.1239,6.11902,3.37171,0.99902
NREM,0.0063,1.24878,6.49366,3.49659,1.24878
NREM,0.00504,1.37366,6.61854,3.24683,0.62439
NREM,0.01109,1.24878,6.2439,3.12195,0.99902
NREM,0.00541,1.1239,6.61854,3.62146,0.74927
NREM,0.00805,1.24878,6.36878,3.49659,0.74927
NREM,0.00979,1.37366,6.61854,3.24683,0.74927
NREM,0.00828,1.49854,6.11902,3.37171,0.99902
NREM,0.00688,1.49854,6.74341,3.49659,0.62439
NREM,0.00687,1.62341,6.86829,3.62146,0.87415
NREM,0.01261,1.24878,6.11902,3.37171,1.24878
NREM,0.02553,1.1239,5.74439,2.74732,1.24878
NREM,0.01294,1.24878,5.74439,2.74732,1.37366
NREM,0.00624,1.87317,6.86829,4.12098,1.1239
NREM,0.01839,1.24878,6.36878,2.99707,0.74927
NREM,0.00967,1.24878,5.74439,3.24683,0.99902
NREM,0.01145,1.24878,6.49366,3.37171,0.87415
NREM,0.00861,1.1239,6.2439,3.24683,1.1239
NREM,0.01696,1.1239,5.49463,2.8722,0.74927
NREM,0.01375,1.24878,5.61951,3.12195,0.87415
NREM,0.00466,1.24878,7.61756,3.87122,0.49951
NREM,0.0108,1.62341,6.61854,3.62146,0.87415
NREM,0.00423,1.74829,6.99317,4.12098,1.62341
NREM,0.00652,1.74829,7.11805,3.87122,0.74927
NREM,0.01502,1.1239,5.86927,2.99707,0.74927
NREM,0.01802,1.1239,5.61951,2.74732,0.87415
NREM,0.01211,1.62341,5.86927,3.24683,1.74829
NREM,0.00841,1.62341,6.61854,3.62146,0.99902
NREM,0.00736,1.24878,6.36878,3.62146,0.49951
NREM,0.01127,1.24878,6.49366,3.49659,0.49951
NREM,0.02186,1.24878,5.24488,2.74732,1.24878
NREM,0.01168,1.37366,6.11902,3.37171,1.37366
NREM,0.01702,1.1239,5.61951,2.99707,0.99902
NREM,0.01257,1.37366,5.74439,3.12195,0.87415
NREM,0.02177,1.1239,5.86927,3.24683,0.87415
NREM,0.00984,0.99902,6.2439,3.24683,0.87415
NREM,0.01672,0.99902,5.86927,2.74732,0.99902
NREM,0.01625,1.49854,5.36976,3.37171,1.1239
NREM,0.00501,1.87317,6.61854,4.24585,1.62341
NREM,0.00752,1.1239,7.11805,3.87122,1.1239
NREM,0.00911,1.49854,6.74341,3.49659,0.87415
NREM,0.01006,1.24878,6.49366,3.24683,0.87415
NREM,0.01288,1.49854,6.49366,3.62146,0.74927
NREM,0.01187,1.49854,6.11902,3.12195,1.1239
NREM,0.01709,1.1239,6.11902,2.8722,0.99902
NREM,0.00698,1.24878,6.86829,3.49659,1.1239
NREM,0.01992,1.37366,5.36976,2.8722,0.87415
NREM,0.01245,1.24878,6.2439,3.37171,0.87415
NREM,0.01398,1.62341,5.74439,3.24683,1.24878
NREM,0.00916,1.37366,6.49366,3.12195,0.62439
NREM,0.00822,1.37366,6.36878,3.37171,0.99902
NREM,0.00714,1.62341,6.36878,3.87122,0.62439
NREM,0.01201,1.24878,6.36878,3.37171,0.62439
NREM,0.01302,1.1239,5.86927,3.12195,0.62439
NREM,0.01427,1.1239,6.11902,2.99707,1.1239
NREM,0.02049,0.99902,5.61951,2.74732,0.87415
NREM,0.00745,1.1239,6.49366,3.49659,0.87415
NREM,0.00958,1.74829,6.2439,3.24683,2.37268
NREM,0.00888,1.1239,6.74341,3.24683,0.74927
NREM,0.0191,0.87415,5.36976,2.74732,0.74927
NREM,0.01646,1.1239,5.49463,2.8722,0.99902
NREM,0.01341,1.24878,5.86927,3.12195,0.99902
NREM,0.01414,1.49854,5.86927,3.24683,0.87415
NREM,0.00491,1.37366,7.11805,3.87122,0.99902
NREM,0.00628,1.62341,6.36878,3.87122,1.24878
NREM,0.01057,1.37366,5.86927,3.49659,0.62439
NREM,0.01639,0.99902,5.86927,2.74732,0.74927
NREM,0.00861,1.49854,5.99415,3.49659,1.49854
NREM,0.01049,1.24878,5.99415,3.24683,0.99902
NREM,0.01511,1.24878,5.74439,3.37171,0.99902
NREM,0.01498,0.99902,5.74439,2.99707,1.1239
NREM,0.01022,1.37366,5.86927,3.49659,1.37366
NREM,0.02214,0.99902,5.49463,2.8722,0.99902
NREM,0.01466,0.99902,5.86927,2.8722,0.99902
NREM,0.00964,1.24878,6.11902,3.12195,0.62439
NREM,0.01245,0.99902,5.86927,2.99707,0.74927
NREM,0.01861,0.74927,5.61951,2.74732,0.62439
NREM,0.02077,0.87415,5.49463,2.62244,0.74927
NREM,0.01004,1.49854,5.86927,3.12195,1.74829
NREM,0.01294,1.37366,5.12,3.12195,0.62439
NREM,0.01059,1.24878,5.99415,3.24683,0.87415
NREM,0.01595,1.1239,5.24488,2.74732,0.74927
NREM,0.01104,1.49854,5.99415,3.12195,0.74927
NREM,0.01441,1.1239,5.74439,2.8722,0.99902
NREM,0.02161,0.99902,5.49463,2.74732,0.99902
NREM,0.01098,1.1239,6.11902,3.12195,0.49951
NREM,0.01311,0.99902,5.86927,3.12195,0.62439
NREM,0.02507,1.1239,4.87024,2.74732,0.99902
NREM,0.02018,0.99902,5.86927,2.99707,0.87415
NREM,0.01566,1.1239,5.49463,2.99707,0.87415
NREM,0.01162,1.1239,5.99415,3.24683,1.1239
NREM,0.01435,1.37366,5.74439,3.37171,1.1239
NREM,0.03109,0.87415,5.12,2.37268,0.74927
NREM,0.015,1.1239,5.86927,3.37171,0.62439
NREM,0.00916,1.1239,6.86829,3.12195,0.99902
NREM,0.02415,0.87415,5.36976,2.37268,0.87415
NREM,0.01018,0.99902,6.11902,3.24683,0.87415
NREM,0.01781,0.87415,5.36976,2.8722,0.74927
NREM,0.00982,1.24878,6.36878,3.24683,0.87415
NREM,0.01342,0.99902,5.61951,2.99707,0.62439
NREM,0.01207,1.24878,6.2439,3.24683,0.99902
NREM,0.01305,0.99902,5.49463,2.99707,0.87415
NREM,0.01264,1.1239,5.99415,2.99707,0.87415
NREM,0.00946,1.49854,6.2439,3.24683,0.62439
NREM,0.01397,1.1239,5.49463,2.8722,0.87415
NREM,0.00847,1.37366,6.11902,3.12195,0.74927
NREM,0.01623,1.1239,5.86927,3.12195,0.74927
NREM,0.01305,1.24878,5.99415,3.37171,0.87415
NREM,0.00867,1.24878,6.11902,3.62146,0.87415
NREM,0.01212,1.1239,5.86927,3.12195,0.99902
NREM,0.01187,1.1239,5.86927,2.8722,1.1239
NREM,0.00683,1.37366,6.99317,3.74634,0.74927
NREM,0.00617,1.24878,6.36878,3.49659,0.74927
NREM,0.00497,1.49854,6.74341,3.87122,0.74927
NREM,0.01533,0.99902,5.61951,2.99707,0.87415
NREM,0.02127,1.24878,5.74439,2.99707,0.74927
NREM,0.0034,1.37366,8.11707,3.74634,0.99902
NREM,0.00919,1.37366,6.49366,3.49659,0.99902
NREM,0.00876,1.1239,6.49366,2.8722,0.62439
NREM,0.011,0.87415,6.74341,2.8722,0.62439
NREM,0.00748,1.24878,6.61854,3.49659,1.1239
NREM,0.01114,1.24878,6.36878,2.74732,1.37366
NREM,0.00949,1.24878,6.86829,3.24683,0.74927
NREM,0.0126,1.1239,5.36976,2.62244,0.87415
NREM,0.01253,0.99902,5.61951,3.12195,0.87415
NREM,0.0057,1.87317,6.74341,3.74634,0.74927
NREM,0.00901,1.62341,6.11902,3.49659,0.62439
NREM,0.00479,1.74829,6.86829,3.87122,1.62341
NREM,0.01146,1.87317,5.49463,3.24683,1.87317
NREM,0.00689,1.37366,6.74341,3.62146,0.99902
NREM,0.01055,1.62341,5.49463,3.24683,0.74927
NREM,0.01289,1.24878,5.12,3.12195,0.99902
NREM,0.00579,1.49854,5.99415,3.74634,1.1239
NREM,0.01867,1.24878,5.36976,3.12195,0.87415
NREM,0.00482,1.62341,6.86829,4.12098,0.62439
NREM,0.01169,1.37366,5.61951,2.99707,0.74927
NREM,0.0049,1.62341,6.36878,3.87122,0.62439
NREM,0.01476,1.1239,6.2439,3.12195,1.1239
NREM,0.00831,1.87317,6.2439,3.62146,1.1239
NREM,0.00643,1.87317,6.11902,3.74634,1.1239
NREM,0.01103,1.62341,5.74439,3.12195,0.99902
NREM,0.01194,1.87317,5.74439,3.49659,2.37268
NREM,0.0113,1.49854,6.61854,3.49659,0.74927
NREM,0.00493,1.49854,6.49366,3.87122,1.1239
NREM,0.00545,1.49854,6.74341,3.62146,0.87415
NREM,0.01925,1.1239,5.36976,2.62244,0.74927
NREM,0.01243,1.37366,6.11902,3.37171,0.99902
NREM,0.00731,1.49854,6.86829,3.24683,0.49951
NREM,0.01105,1.37366,6.2439,3.24683,0.62439
NREM,0.01085,1.49854,5.74439,3.62146,1.37366
NREM,0.01794,1.24878,5.24488,3.12195,0.74927
NREM,0.00677,1.62341,6.2439,3.74634,0.74927
NREM,0.00638,1.24878,6.61854,3.24683,0.62439
NREM,0.01422,1.49854,6.36878,3.24683,0.62439
NREM,0.01404,1.37366,5.86927,3.12195,0.99902
